NO,등급 인정처,호텔업 구분,결정 등급,등급 결정일,지역,호텔명,객실수,주소,Latitude,Longitude,전화번호,홈페이지
479,한국관광공사,관광호텔업,3성,2019-04-29,강원도,베니키아 호텔 문막,66,강원도 원주시 문막읍 왕건로 9  ,37.3206545,127.8309345,033-734-7315,http://www.munmakhotel.co.kr
526,한국관광공사,관광호텔업,4성,2019-03-07,강원도,휘닉스 호텔 (구. 휘닉스 평창 호텔),130,강원도 평창군 봉평면 태기로 174  ,37.5781735,128.3304598,033-330-6534,https://phoenixhnr.co.kr/static/pyeongchang/room/detail-hotel1
534,한국관광공사,관광호텔업,2성,2019-03-06,강원도,호텔 이스트나인,54,강원도 강릉시 교동광장로100번길 8-6  (교동),37.7656929,128.8766612,033-642-3200,http://hoteleast9.com
568,한국관광공사,관광호텔업,5성,2018-12-03,강원도,씨마크 호텔,150,강원도 강릉시 해안로406번길 2  (강문동),37.7979577,128.9153587,033-650-7000,http://www.seamarqhotel.com
641,한국관광공사,관광호텔업,4성,2017-11-17,강원도,용평리조트 드래곤 밸리 호텔,195,강원도 평창군 대관령면 올림픽로 715  ,37.6450087,128.6829718,033-335-5757,http://www.yongpyong.co.kr/kor/index.do
649,한국관광공사,관광호텔업,3성,2017-08-07,강원도,호텔 인터불고 원주,152,강원도 원주시 동부순환로 200,37.332851,127.9744095,033-769-8114,http://wonju.inter-burgo.com
19,한국관광협회중앙회,관광호텔업,2성,2021-12-16,경기도,뉴스카이호텔,36,경기도 용인시 처인구 백암면 고안로 48 ,37.1280846,127.401283,031-339-0064,https://newskyhotel.modoo.at/
30,한국관광협회중앙회,관광호텔업,4성,2021-12-04,경기도,블룸비스타호텔앤컨퍼런스주식회사 ,292,경기도 양평군 강하면 강남로 316  ,37.5001886,127.4202756,031-770-8888,http://www.bloomvista.co.kr
33,한국관광협회중앙회,관광호텔업,3성,2021-11-26,경기도,호텔 에스알 스위츠,66,경기도 성남시 분당구 황새울로319번길 9 (서현동),37.385526,127.1201802,031-702-6565,http://www.srsuites.com
47,한국관광협회중앙회,관광호텔업,3성,2021-11-12,경기도,호텔더메이,125,경기도 남양주시 별내2로 70  (별내동),37.6616184,127.1311346,031-551-8700,http://www.hotelthemay.com
53,한국관광협회중앙회,관광호텔업,4성,2021-10-28,경기도,라마다 프라자 수원 호텔,287,경기도 수원시 팔달구 중부대로 150 라마다프라자 수원 호텔 (인계동),37.277803,127.032375,031-230-0001,http://www.ramadaplazasuwon.com
58,한국관광협회중앙회,관광호텔업,3성,2021-10-22,경기도,어반 부티크 호텔,80,경기도 안양시 동안구 흥안대로 497  (관양동),37.398413,126.976412,031-421-0000,http://www.urbanhotel.co.kr
68,한국관광협회중앙회,관광호텔업,2성,2021-09-03,경기도,웨스트나인호텔,65,경기도 김포시 김포한강9로75번길 64  (구래동),37.6342473,126.7370613,031-982-5821,
72,한국관광협회중앙회,관광호텔업,4성,2021-08-24,경기도,그래비티 서울 판교 오토그래프 컬렉션,306,경기도 성남시 분당구 판교역로146번길 2 (백현동),37.3917536,127.1120101,031-539-4880,http://www.gravityhotel.com
75,한국관광협회중앙회,관광호텔업,1성,2021-08-12,경기도,호텔 제니스,59,경기도 부천시 길주로77번길 19-22 제니스호텔 (상동),37.5068875,126.7499328,032-329-3333,
77,한국관광협회중앙회,관광호텔업,2성,2021-07-28,경기도,호텔 심포니,64,경기도 수원시 영통구 반달로128번길 13 (영통동),37.2545741,127.0754295,031-206-2106,http://www.amourhotel.com
78,한국관광협회중앙회,관광호텔업,2성,2021-07-28,경기도,호텔 아모르,64,경기도 수원시 영통구 반달로128번길 9 (영통동),37.2544315,127.0752926,031-206-0942,http://www.amourhotel.com
98,한국관광협회중앙회,관광호텔업,1성,2021-07-07,경기도,호텔씨엘,54,경기도 하남시 대청로22번길 9-9 신장동 524-11 (신장동),37.5402938,127.2155226,031-341-1000,
117,한국관광협회중앙회,관광호텔업,1성,2021-06-08,경기도,호텔야자 관광호텔,35,"경기도 성남시 수정구 위례광장로 9-10 9층,10층 (창곡동)",37.4722684,127.1426695,031-759-0508,
141,한국관광협회중앙회,관광호텔업,2성,2021-04-23,경기도,골든힐 호텔,80,경기도 파주시 탄현면 성동로 36-30  ,37.7767707,126.6878523,031-942-0222,http://www.goldenhillhotel.co.kr
150,한국관광공사,소형호텔업,3성,2020-12-05,경기도,호텔 마에스트로,25,경기도 안성시 양성면 안성맞춤대로 2134-36 ,37.1064061,127.2639556,031-8046-1111,http://www.maestrocc.co.kr
151,한국관광공사,관광호텔업,3성,2020-12-04,경기도,베니키아 레스트 호텔,70,경기도 김포시 태장로795번길 151  (장기동),37.640062,126.6852255,031-988-3534,
153,한국관광공사,관광호텔업,1성,2020-12-02,경기도,소설스미스호텔,34,경기도 용인시 기흥구 민속촌로 57  (보라동),37.2559241,127.1108687,031-693-8412,
158,한국관광공사,관광호텔업,4성,2020-11-27,경기도,코트야드 메리어트 수원,288,경기도 수원시 영통구 광교호수공원로 320  (하동),37.283123,127.0659168,031-267-5600,http://www.marriott.com/selcw
169,한국관광공사,관광호텔업,3성,2020-11-19,경기도,카인드 호텔,92,경기도 성남시 분당구 황새울로329번길 10  (서현동),37.3857959,127.121271,031-781-0006,http://www.kyndhotel.co.kr
171,한국관광공사,관광호텔업,2성,2020-11-19,경기도,호텔 더 윈,80,경기도 고양시 덕양구 원흥3로 6-14  (원흥동),37.6474543,126.8751691,031-966-0033,
177,한국관광공사,관광호텔업,1성,2020-11-16,경기도,호텔갤러리,45,경기도 포천시 소흘읍 죽엽산로 432-17  ,37.7964801,127.1652066,031-544-8008,http://www.hgallery.kr
181,한국관광공사,관광호텔업,2성,2020-11-03,경기도,골드호텔,48,경기도 남양주시 별내면 청학로92번길 133,37.7093487,127.1108472,031-841-2121,http://gold-hotel.co.kr
188,한국관광공사,관광호텔업,2성,2020-10-15,경기도,베니키아 JD 관광호텔,71,경기도 남양주시 진접읍 해밀예당1로 50-44 ,37.7122888,127.1875257,031-571-2266,http://www.jdhotel.co.kr
195,한국관광공사,관광호텔업,3성,2020-09-03,경기도,호텔 푸르미르,239,경기도 화성시 효행로 480  (안녕동),37.2091227,126.9851414,031-8020-0000,http://www.hotelprumir.com/
203,한국관광공사,관광호텔업,3성,2020-08-05,경기도,신라스테이 동탄,286,경기도 화성시 노작로 161,37.2051889,127.0761455,031-8036-9000,http://www.shillastay.com/dongtan/
214,한국관광공사,관광호텔업,2성,2020-07-02,경기도,서울 투어리스트 호텔,59,경기도 시흥시 군자천로 315  (정왕동),37.3330587,126.7156961,031-431-1300,http://hotel-st.com
222,한국관광공사,관광호텔업,1성,2020-06-02,경기도,호텔 디,59,경기도 오산시 원동로 5  (원동),37.1425536,127.0691484,031-372-7444,
229,한국관광공사,관광호텔업,5성,2020-05-15,경기도,소노캄 고양 (구. 엠블호텔 고양),826,경기도 고양시 일산동구 태극로 20,37.6569117,126.7699302,031-927-7700,http://www.mvlhotel.com/goyang
230,한국관광공사,관광호텔업,2성,2020-05-13,경기도,호텔 파인,35,경기도 용인시 기흥구 삼성2로96번길 29-49  (농서동),37.219402,127.0842747,031-8015-0404,
239,한국관광공사,소형호텔업,2성,2020-04-13,경기도,호텔가덴 비즈,20,경기도 수원시 권선구 경수대로335번길 10  (권선동),37.2572996,127.0214749,031-239-5572,http://www.hotelgaden.com/home/
244,한국관광공사,소형호텔업,2성,2020-03-28,경기도,호텔 가덴,29,경기도 수원시 경수대로335번길 12,37.2571331,127.0213888,031-239-5572,http://www.hotelgaden.com/home/
249,한국관광공사,관광호텔업,3성,2020-03-21,경기도,호텔 얼레이,100,경기도 용인시 기흥구 신정로 231,37.2897191,127.1014604,031-693-9181,http://www.alleehotel.com
255,한국관광공사,관광호텔업,2성,2020-03-11,경기도,웨스트 레이븐 호텔,21,경기도 시흥시 옥터로 3,37.3475129,126.6928906,031-499-7733,http://www.westravenoidohotel.com
257,한국관광공사,관광호텔업,2성,2020-03-02,경기도,메이트호텔 파주,47,경기도 파주시 탄현면 엘씨디로241번길 39-35,37.8088648,126.758792,031-945-1029,http://www.matehotel-paju.co.kr
267,한국관광공사,관광호텔업,4성,2020-02-11,경기도,썬밸리 호텔,202,경기도 여주시 강변유원지길 45,37.2932129,127.6608827,031-880-3889,http://www.sunvalleyhotel.co.kr
268,한국관광공사,관광호텔업,2성,2020-02-09,경기도,호텔 클로버,88,"경기도 안산시 상록구 양지편로 22
",37.3092445,126.8504011,031-417-9300,https://hotelclover.modoo.at/
271,한국관광공사,관광호텔업,1성,2019-12-30,경기도,가보 호텔,121,경기도 평택시 평택5로76번길 18-10  (비전동),36.9930526,127.1128844,031-658-7700,http://www.hotelkabo.kr
273,한국관광공사,관광호텔업,2성,2019-12-30,경기도,호텔 더 클래스,72,경기도 이천시 중리천로 126-19,37.2757708,127.4478098,031-637-3325,
277,한국관광공사,관광호텔업,1성,2019-12-27,경기도,월드 관광 호텔,80,경기도 화성시 향남읍 발안공단로5길 7-23  ,37.0860989,126.9085827,031-353-7833,http://worldtouristhotel.com
280,한국관광공사,관광호텔업,3성,2019-12-26,경기도,베니키아 더 에이치 호텔,90,경기도 화성시 남양읍 역골로 3-12,37.2000612,126.8278654,031-350-6200,
282,한국관광공사,관광호텔업,2성,2019-12-26,경기도,S 호텔,55,경기도 부천시 원미로17번길 28  (심곡동),37.4846734,126.7874035,032-657-8777,http://www.bchotel.co.kr
292,한국관광공사,소형호텔업,2성,2019-12-23,경기도,호텔더베이21,27,경기도 시흥시 오이도로 123-1,37.3479586,126.6905025,031-499-4310,http://www.oidohotel.com
296,한국관광공사,관광호텔업,2성,2019-12-20,경기도,로얄프라임 호텔 (구. 호매실 호텔),65,경기도 수원시 권선구 금곡로197번길 17-10  (금곡동),37.2755025,126.9540398,031-246-1000,http://landmark.zc.bz
308,한국관광공사,관광호텔업,2성,2019-12-13,경기도,광명 JS 부티크호텔,88,경기도 광명시 오리로854번길 16-18 (철산동),37.4742264,126.8688516,02-2619-3001,http://www.gmhotel.co.kr
338,한국관광공사,관광호텔업,4성,2019-11-11,경기도,밀리토피아 호텔,149,경기도 성남시 수정구 위례대로 83  (창곡동),37.4683691,127.1437378,031-727-9300,http://www.militopiahotel.com
342,한국관광공사,관광호텔업,3성,2019-11-04,경기도,호텔 시에나,100,경기도 파주시 소리천로 31  (야당동),37.7188961,126.7614408,031-943-7260 ,http://www.hotelsienna.com
346,한국관광공사,관광호텔업,3성,2019-10-28,경기도,아셈 호텔,73,경기도 김포시 태장로795번길 145  (장기동),37.639536,126.6845957,031-997-3230,http://hotelassem.com/
354,한국관광공사,관광호텔업,2성,2019-10-13,경기도,의정부 라트리 호텔,58,경기도 의정부시 청사로6번길 19-13,37.74977,127.0720047,031-843-5100,http://www.uijeongbu-latree.com
360,한국관광공사,관광호텔업,2성,2019-10-04,경기도,호텔 루이스,100,경기도 성남시 중원구 광명로 22-1  (성남동),37.4359703,127.1448183,031-752-3118,http://hotel-louis.imweb.me
363,한국관광공사,관광호텔업,2성,2019-09-27,경기도,랜드마크 호텔,104,경기도 수원시 영통구 봉영로 1591  (영통동),37.2535071,127.0725353,031-202-3773,http://www.landmarkhotel1.com
380,한국관광공사,관광호텔업,1성,2019-08-21,경기도,호텔 파비아,50,경기도 부천시 부일로 510  (심곡동),37.4894464,126.7801652,032-614-7500 ,http://hotelpavia.co.kr
389,한국관광공사,관광호텔업,2성,2019-08-02,경기도,IMT 호텔 안산,39,경기도 안산시 상록구 성호로1길 12-4  (일동),37.3096293,126.8687705,031-416-4043,
410,한국관광공사,관광호텔업,1성,2019-07-12,경기도,에버그린관광호텔,45,경기도 양주시 장흥면 권율로 190-45  ,37.7300793,126.9510322,031-855-7900,http://www.evergreentouristhotel.co.kr
415,한국관광공사,관광호텔업,2성,2019-07-09,경기도,메트로폴 관광호텔 (구. 송탄 메트로 호텔),50,경기도 평택시 관광특구로 24  (서정동),37.0665643,127.0614396,031-668-0002,http://www.songtanmetrohotel.co.kr
417,한국관광공사,관광호텔업,1성,2019-07-06,경기도,호텔 도노,41,경기도 수원시 팔달구 신풍로 68  (장안동),37.2869938,127.0138545,031-258-8881,http://www.hoteldono.com
431,한국관광공사,관광호텔업,2성,2019-06-19,경기도,뉴수원 호텔,54,경기도 수원시 팔달구 화서문로72번길 33  (북수동),37.2844408,127.0168627,031-245-2405,https://newsuwon.modoo.at
435,한국관광공사,관광호텔업,2성,2019-06-17,경기도,MS 호텔,56,경기도 수원시 권선구 효원로220번길 22  (권선동),37.262072,127.0252166,031-221-1100,http://www.mshotel.co.kr
437,한국관광공사,관광호텔업,1성,2019-06-17,경기도,타소스 호텔,42,경기도 수원시 권선구 권선로669번길 26  (권선동),37.2609343,127.0252617,031-237-3400,http://www.thassoshotel.co.kr/
451,한국관광공사,관광호텔업,3성,2019-06-05,경기도, 서머셋 센트럴 분당 (구. JS 호텔 분당),206,경기도 성남시 분당구 황새울로311번길 36  (서현동),37.386511,127.121075,031-620-0038,http://www.jshotelbundang.com/
453,한국관광공사,관광호텔업,2성,2019-05-31,경기도,호텔 아리수,66,경기도 김포시 태장로795번길 123  (장기동),37.6379309,126.6825156,031-996-8800,https://hotelarisu.modoo.at/
461,한국관광공사,소형호텔업,1성,2019-05-24,경기도,호텔 씨하이,29,경기도 시흥시 오이도로135번길 72  (정왕동),37.3420721,126.6868445,031-319-0078,
464,한국관광공사,관광호텔업,2성,2019-05-22,경기도,호텔 아스트로,94,경기도 용인시 수지구 포은대로 479 (풍덕천동),37.3240889,127.1022009,031-948-1795,http://www.astrohotel.com
469,한국관광공사,관광호텔업,1성,2019-05-13,경기도,센트럴관광호텔,52,경기도 안양시 동안구 흥안대로 513  (관양동),37.3997241,126.9763174,031-423-2111,http://www.central-hotel.co.kr/
471,한국관광공사,관광호텔업,3성,2019-05-10,경기도,호텔 실크로드,90,경기도 수원시 팔달구 인계로94번길 27-19  (인계동),37.2668336,127.0285376,031-232-9981,http://www.hotelsilkroad.co.kr
477,한국관광공사,관광호텔업,2성,2019-05-07,경기도,펜타스타 호텔,69,경기도 김포시 태장로795번길 111  (장기동),37.6379309,126.6825156,031-982-5555,https://pentastarhotel.modoo.at
478,한국관광공사,관광호텔업,1성,2019-05-03,경기도,자니비 호텔,30,경기도 수원시 권선구 장다리로 75  (권선동),37.2571561,127.0203548,031-221-8008,
497,한국관광공사,관광호텔업,2성,2019-04-09,경기도,평택스테이 호텔,67,경기도 평택시 평택1로 7  (평택동),36.9927541,127.0863667,031-654-3333,http://www.pyeongtaekstay.com
518,한국관광공사,소형호텔업,1성,2019-03-18,경기도,빨간등대 관광호텔,29,경기도 시흥시 오이도로135번길 10  (정왕동),37.3474791,126.6889364,031-319-0020,
530,한국관광공사,관광호텔업,2성,2019-03-06,경기도,제이비스 호텔,58,경기도 의정부시 청사로6번길 19-7  (신곡동),37.7496305,127.0717997,031-836-4500,
535,한국관광공사,관광호텔업,3성,2019-03-05,경기도,베니키아 프리미어 호텔 시흥,280,경기도 시흥시 평안상가4길 21  (정왕동),37.33774,126.7498135,031-433-0001 ,http://siheunghotel.net
539,한국관광공사,관광호텔업,3성,2019-02-26,경기도,아발론 호텔,100,경기도 안양시 만안구 현충로 2  (안양동),37.393401,126.9301694,031-389-8010,https://www.hotelavl.com/
540,한국관광공사,관광호텔업,1성,2019-02-25,경기도,해시호텔,46,경기도 수원시 팔달구 갓매산로 72-1  (고등동),37.2700133,127.0031427,031-247-4301,
543,한국관광공사,관광호텔업,3성,2019-02-19,경기도,CS 프리미어 관광호텔,157,경기도 안양시 만안구 경수대로 1180  (안양동),37.4159863,126.9169405,02-830-1616,http://www.thecshotel.com/
551,한국관광공사,관광호텔업,4성,2019-01-29,경기도,롤링힐스 호텔,228,경기도 화성시 남양읍 시청로 290  ,37.1899996,126.838741,031-268-1000,https://www.rollinghills.co.kr
570,한국관광공사,관광호텔업,3성,2018-11-27,경기도,호텔 리츠,45,경기도 수원시 팔달구 권광로134번길 44-11  (인계동),37.2584257,127.0335066,031-224-1100,http://www.hotel-ritz.co.kr/
573,한국관광공사,관광호텔업,3성,2018-11-22,경기도,호텔 아르떼,54,경기도 수원시 팔달구 인계로108번길 37  (인계동),37.2661719,127.029511,031-8067-6600,http://www.hotelarte.co.kr
579,한국관광공사,관광호텔업,3성,2018-11-07,경기도,쉐르빌온천관광호텔,67,경기도 양평군 개군면 신내길7번길 37  ,37.4684746,127.531448,031-774-4101,http://www.cherevillehotel.com
608,한국관광공사,관광호텔업,2성,2018-05-03,경기도,B-Stay 부천호텔,98,경기도 부천시 길주로 131  (상동),37.505957,126.7571824,032-326-8181,http://www.bstaybucheonhotel.co.kr
628,한국관광공사,관광호텔업,2성,2017-12-28,경기도,성남 호텔 바인,66,경기도 성남시 중원구 산성대로 184  (성남동),37.4360633,127.1392599,031-721-3350,https://hotelvine.modoo.at/
630,한국관광공사,관광호텔업,4성,2017-12-21,경기도,노보텔 앰배서더 수원,287,경기도 수원시 팔달구 덕영대로 902  (매산로1가),37.2682812,126.9991344,031-547-6651,http://novotel.ambatel.com/suwon
632,한국관광공사,관광호텔업,1성,2017-12-12,경기도,분당 리젠시 호텔,56,경기도 성남시 분당구 황새울로 352  (서현동),37.3867163,127.124174,031-1544-6880,http://www.regency.kr
633,한국관광공사,관광호텔업,2성,2017-12-05,경기도,메이트 호텔,62,경기도 성남시 분당구 황새울로335번길 7  (서현동),37.3878575,127.1228937,031-705-5111,http://www.matehotel-bundang.co.kr/
654,한국관광공사,관광호텔업,2성,2017-06-22,경기도,엘가호텔,78,경기도 화성시 향남읍 평6길 46-1,37.1301224,126.9079339,031-366-3319,http://www.elgahotel.co.kr/
662,한국관광공사,관광호텔업,2성,2017-04-05,경기도,약암홍염천관광호텔,71,경기도 김포시 대곶면 약암로 965-7,37.6378896,126.551516,031-989-7000,http://www.yakam.co.kr
7,한국관광협회중앙회,관광호텔업,2성,2021-12-27,경상남도,아몬드키즈관광호텔,42,경상남도 김해시 활천로237번길 8-13 (어방동),35.2433126,128.9061996,055-723-3535,http://almondkid.modoo.at
15,한국관광협회중앙회,관광호텔업,1성,2021-12-22,경상남도,브룩스호텔,35,경상남도 통영시 통영해안로 407  (정량동),34.8452446,128.4309477,055-644-1212,https://booking.naver.com/booking/3/bizes/249961
26,한국관광협회중앙회,가족호텔업,2성,2021-12-09,경상남도,거제뷰 골프텔,40,경상남도 거제시 거제면 두동로 259-80  ,34.8824408,128.5916509,055-639-2201,http://www.geojeview.co.kr
46,한국관광협회중앙회,관광호텔업,2성,2021-11-12,경상남도,통영 엔쵸비 관광호텔,43,경상남도 통영시 동호로 56  (정량동),34.842872,128.4314394,055-642-6000,http://www.anchovyhotel.com
52,한국관광협회중앙회,관광호텔업,4성,2021-10-28,경상남도,그랜드 머큐어 앰배서더 창원 (구. 풀만 앰배서더 창원),321,경상남도 창원시 의창구 원이대로 332 (대원동),35.2395289,128.6556374,055-600-0700,https://www.ambatel.com/grandmercure/changwon/ko/main.do
67,한국관광협회중앙회,가족호텔업,3성,2021-09-10,경상남도,호텔스테이온,63,경상남도 거제시 장평1로9길 21-4  (장평동),34.8927461,128.610442,055-922-1700,http://www.codelliahotel.com
79,한국관광협회중앙회,관광호텔업,3성,2021-07-23,경상남도,스카이뷰 관광호텔,94,경상남도 창원시 마산합포구 해안대로 317  (신포동2가),35.2008972,128.5753479,055-248-2700,https://www.skyviewhotel.kr/
84,한국관광협회중앙회,관광호텔업,2성,2021-07-14,경상남도,웰니스 호텔 인산가,36,경상남도 함양군 함양읍 삼봉로 292-90  ,35.4627859,127.6637215,055-963-9585,http://www.wellnesshotel.co.kr/
100,한국관광협회중앙회,가족호텔업,1성,2021-06-17,경상남도,HOTEL GA JO,30,경상남도 거창군 가조면 온천길 108-11  ,35.6989268,128.0265324,055-944-0112,https://www.hotelgajo.co.kr/
108,한국관광협회중앙회,관광호텔업,4성,2021-06-17,경상남도,호텔 아리나,78,경상남도 밀양시 삼문강변로 82  (삼문동),35.4837326,128.7517257,055-350-7000,http://www.hotelarina.com
113,한국관광협회중앙회,관광호텔업,3성,2021-06-08,경상남도,에비뉴 호텔 창원,60,경상남도 창원시 의창구 용지로169번길 5  (용호동),35.2301384,128.6815325,055-263-7200,http://www.hotelavenue.co.kr
121,한국관광협회중앙회,관광호텔업,4성,2021-05-25,경상남도,스탠포드 호텔&리조트 ,144,경상남도 통영시 도남로 347 (도남동),34.8291616,128.4251833,055-725-0000,http://www.stanfordtongyeong.com
125,한국관광협회중앙회,관광호텔업,2성,2021-05-14,경상남도,노마드 호텔,46,경상남도 김해시 인제로91번길 5  (어방동),35.2364016,128.9040298,055-326-7700,http://www.nomadhotel.co.kr
126,한국관광협회중앙회,관광호텔업,2성,2021-05-14,경상남도,아르누보 스위트 호텔,96,경상남도 거제시 장평1로 13  (장평동),34.8918729,128.6171685,055-731-1234,http://www.hotel1212.com
143,한국관광협회중앙회,관광호텔업,1성,2021-04-23,경상남도,사과나무호텔,41,경상남도 창원시 마산합포구 가포신항북로 16  (가포동),35.1598206,128.5709966,055-223-9800,https://hotelapplelrtree.modoo.at
149,한국관광공사,관광호텔업,2성,2020-12-18,경상남도,아모르 관광호텔,52,경상남도 창원시 진해구 명제로472번길 17  (제덕동),35.1034363,128.7452548,055-604-4242,http://www.amorhotel.co.kr/main/main.php
168,한국관광공사,관광호텔업,2성,2020-11-19,경상남도,리안호텔,32,경상남도 창원시 진해구 명제로 478  (제덕동),35.1004503,128.7431348,055-713-5577,
185,한국관광공사,관광호텔업,5성,2020-10-17,경상남도,거제삼성호텔,166,경상남도 거제시 장평3로 80-37  (장평동),34.8961937,128.6123341,055-631-2114,http://www.sghotel.co.kr/main.do
199,한국관광공사,관광호텔업,2성,2020-08-21,경상남도,브라운도트 호텔 진해점,39,경상남도 창원시 진해구 용원동로221번길 60-7 (용원동),35.0917627,128.8126363,055-552-8092,
209,한국관광공사,소형호텔업,2성,2020-07-20,경상남도,브릿지호텔,21,경상남도 통영시 용남면 남해안대로 18  ,34.8907012,128.4738873,055-649-3800,http://www.bridgehotel.net
210,한국관광공사,관광호텔업,2성,2020-07-20,경상남도,여우비 호텔,60,경상남도 창원시 마산합포구 월영동11길 22 (해운동),35.1803551,128.5648875,055-243-9999,http://yeoubihotel.modoo.at
221,한국관광공사,관광호텔업,3성,2020-06-05,경상남도,호텔 파인 그로브,66,경상남도 김해시 번화1로67번길 20,35.1902506,128.8032483,055-310-1100,http://www.pinegrove.co.kr
